"timestamp","open","high","low","close","volume"
"2018-10-11",9.4300,9.4400,8.8100,8.8500,366710996
"2018-09-28",9.5300,9.9400,9.0900,9.2500,803726638
"2018-08-31",10.0600,10.1000,9.3500,9.4800,858464574
"2018-07-31",11.0200,11.2600,9.8400,10.0400,851863061
"2018-06-29",11.6700,12.1500,11.0300,11.0700,764216136
"2018-05-31",11.2500,11.7350,10.9700,11.5500,701227111
"2018-04-30",11.0600,11.7250,10.7000,11.2400,882523410
"2018-03-29",10.6500,11.4400,10.1400,11.0800,983086409
"2018-02-28",10.9500,11.0400,10.1900,10.6100,943633227
"2018-01-31",12.5200,13.4800,10.9000,10.9700,1126712937
