"timestamp","open","high","low","close","volume"
"2018-10-09",35.5300,35.7100,32.6500,33.4700,15719996
"2018-09-28",37.4600,39.7399,35.2350,35.4800,47132686
"2018-08-31",34.0200,38.6200,32.7500,37.4400,87230361
"2018-07-31",35.2500,35.9742,32.9100,34.1400,44057319
"2018-06-29",37.0000,38.2600,35.1050,35.2500,57002733
"2018-05-31",33.0200,38.9900,29.7600,36.6000,91097741
"2018-04-30",34.9100,35.7400,31.0900,33.0900,52127757
"2018-03-29",32.0200,35.7600,29.5300,35.0500,90543069
"2018-02-28",31.4500,34.1500,28.8600,32.0200,53759646
"2018-01-31",29.1300,35.5000,28.9000,31.4600,69361642
