"timestamp","open","high","low","close","volume"
"2018-10-11",2021.9900,2033.1900,1685.1001,1719.3600,64823589
"2018-09-28",2026.5000,2050.5000,1865.0000,2003.0000,94445693
"2018-08-31",1784.0000,2025.5700,1776.0200,2012.7100,96575676
"2018-07-31",1682.7000,1880.0500,1678.0600,1777.4400,97629820
"2018-06-29",1637.0300,1763.1000,1635.0900,1699.8000,85941510
"2018-05-31",1563.2200,1635.0000,1546.0200,1629.6200,71615299
"2018-04-30",1417.6200,1638.1000,1352.8800,1566.1300,129945743
"2018-03-29",1513.6000,1617.5400,1365.2000,1447.3400,128401298
"2018-02-28",1445.0000,1528.7000,1265.9300,1512.4500,133362428
"2018-01-31",1172.0000,1472.5800,1170.5100,1450.8900,94145634
"2017-12-29",1172.0500,1194.7800,1124.7400,1169.4700,56130525
